Data,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o
13/03/2019,Sim,,Sim,,,,,,,,,,,Sim,
14/03/2019,Sim,,Sim,,,,,,,,,,,Sim,
25/03/2019,Sim,,Sim,,,,,,,,,,,,Sim
01/04/2019,Sim,,Sim,,,,,,,,,,,,Sim
02/04/2019,Sim,,Sim,,,,,,,,,,,Sim,
03/04/2019,,Sim,Sim,,,,,,,,,,,,Sim
04/04/2019,Sim,,Sim,,,,,,,,,,,,Sim
09/04/2019,Sim,,Sim,,,,,,,,,,,Sim,
09/04/2019,,Sim,Sim,,,,,,,,,,,Sim,
15/04/2019,Sim,,Sim,,,,,,,,,,,,Sim
16/04/2019,Sim,,Sim,,,,,,,,,,,,
16/04/2019,Sim,,Sim,,,,,,,,,,,,Sim
22/04/2019,Sim,,Sim,,,,,,,,,,,,
23/04/2019,,Sim,Sim,,,,,,,,,,,Sim,
23/04/2019,Sim,,Sim,,,,,,,,,,,Sim,
29/04/2019,Sim,,Sim,,,,,,,,,,,,Sim
03/05/2019,Sim,,Sim,,,,,,,,,,,,
07/05/2019,Sim,,Sim,,,,,,,,,,,,Sim
10/05/2019,Sim,,Sim,,,,,,,,,,,Sim,
12/05/2019,Sim,,Sim,,,,,,,,,,,Sim,
13/05/2019,Sim,,Sim,,,,,,,,,,,,Sim
14/05/2019,Sim,,Sim,,,,,,,,,,,,Sim
14/05/2019,Sim,,Sim,,,,,,,,,,,,Sim
15/05/2019,Sim,,Sim,,,,,,,,,,,,
15/05/2019,Sim,,Sim,,,,,,,,,,,,Sim
15/05/2019,Sim,,Sim,,,,,,,,,,,,Sim
16/05/2019,Sim,,Sim,,,,,,,,,,,,Sim
16/05/2019,Sim,,Sim,,,,,,,,,,,,Sim
17/05/2019,Sim,,Sim,,,,,,,,,,,,Sim
17/05/2019,Sim,,Sim,,,,,,,,,,,,Sim
18/05/2019,Sim,,Sim,,,,,,,,,,,,
22/05/2019,Sim,,Sim,,,,,,,,,,,,Sim
22/05/2019,Sim,,Sim,,,,,,,,,,,,Sim
25/05/2019,Sim,,Sim,,,,,,,,,,,,
26/05/2019,Sim,,Sim,,,,,Sim,,,,,,,
28/05/2019,Sim,,Sim,,,,,,,,,,,,Sim
30/05/2019,Sim,,Sim,,,,,,,,,,,Sim,
03/06/2019,Sim,,Sim,,,,,,,,,Sim,,,
05/06/2019,Sim,,Sim,,,Sim,,Sim,,,,,,,
26/06/2019,Sim,,Sim,,,,,,,,,,,,Sim
04/07/2019,Sim,,Sim,,,,,,,,,,,Sim,
04/07/2019,Sim,,Sim,,,,,,,,,,,,Sim
05/07/2019,Sim,,Sim,,,,,,,,,,,,Sim
06/07/2019,Sim,,Sim,,,,,,,,,,,,Sim
08/07/2019,Sim,,Sim,,,,,,,,,Sim,,,
09/07/2019,Sim,,Sim,,,,,,,,,,,,Sim
12/07/2019,Sim,,Sim,,,,,Sim,,,,Sim,,,
13/07/2019,Sim,,Sim,,,,,,,,,,,,
14/07/2019,Sim,,Sim,,,,,Sim,,,,,,,
