Data,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o
14/07/2019,,Sim,Sim,,,,,,,,,,,Sim,
15/07/2019,Sim,,Sim,,,,,,,,,,,Sim,
18/07/2019,Sim,,Sim,,,,,,,,,,,Sim,
27/07/2019,Sim,,Sim,,,,,,,,,,,,
30/07/2019,Sim,,Sim,,,,,,,,,,,Sim,
30/07/2019,Sim,,Sim,,,,,,,,,,,,Sim
31/07/2019,Sim,,Sim,,,,,,,,,,,Sim,
01/08/2019,Sim,,Sim,,,,,,,,,Sim,,,
02/08/2019,Sim,,Sim,,,,,,,,,,,Sim,
03/08/2019,Sim,,Sim,,,,,,,,,,,Sim,
05/08/2019,,Sim,Sim,,,,,,,,,,,Sim,
06/08/2019,Sim,,Sim,,,,,,,,,,,,Sim
06/08/2019,Sim,,Sim,,,,,,,,,,,Sim,
11/08/2019,Sim,,Sim,,,,,,,,,,,,
12/08/2019,Sim,,Sim,,,,,,,,,,,,
12/08/2019,Sim,,Sim,,,,,,,,,,,,
21/08/2019,Sim,,Sim,,,,,,,,,,,,Sim
22/08/2019,Sim,,Sim,,,,,,Sim,,,,,,
29/08/2019,Sim,,Sim,,,,,,,,,,,,Sim
09/09/2019,Sim,,Sim,,,Sim,,,,,,,,Sim,
11/09/2019,Sim,,Sim,,,,,,,,,Sim,,,
14/09/2019,Sim,,Sim,,,,,,,,,,,,Sim
15/09/2019,Sim,,Sim,,,,,,,,,,,,
16/09/2019,Sim,,Sim,,,,,,,,,,,Sim,
17/09/2019,Sim,,Sim,,,,,,,,,Sim,,,
27/09/2019,Sim,,Sim,,,Sim,,,,,,,,,
04/10/2019,Sim,,Sim,,,,,,,,,,,,Sim
12/10/2019,Sim,,Sim,,,,,,,,,,,Sim,
20/10/2019,Sim,,Sim,,,,,,,,,,,,Sim
22/10/2019,,Sim,Sim,,,,,,,,,,,,
29/10/2019,Sim,,Sim,,,,,,,,,,,,
30/10/2019,,Sim,Sim,,,,,,,,,,,,
03/11/2019,Sim,,Sim,,,,,,,,,,,,Sim
04/11/2019,Sim,,Sim,,,,,,,,,,,,Sim
05/11/2019,Sim,,Sim,,,,,,,,,,,,Sim
06/11/2019,Sim,,Sim,,,,,,,,,,,,Sim
11/11/2019,,Sim,Sim,,,,,,,,,,,Sim,
11/11/2019,Sim,,Sim,,,,,,,,,,,Sim,
17/11/2019,Sim,,Sim,,,,,,,,,,,Sim,
18/11/2019,Sim,,Sim,,,,,,,,,,,,Sim
21/11/2019,Sim,,Sim,,,,,,,,,,,Sim,
21/11/2019,Sim,,Sim,,,,,,,,,,,Sim,
21/11/2019,Sim,,Sim,,,,,,,,,,,,Sim
21/11/2019,Sim,,Sim,,,,,,,,,,,,Sim
22/11/2019,Sim,,Sim,,,,,,,,,Sim,,,
26/11/2019,Sim,,Sim,,,,,,,,,,,,Sim
27/11/2019,Sim,,Sim,,,,,,,,,,,,Sim
27/11/2019,Sim,,Sim,,,Sim,,,,,,,,Sim,
28/11/2019,,Sim,Sim,,,,,,,,,,,Sim,Sim
29/11/2019,Sim,,Sim,,,,,,,,,,,,Sim
01/12/2019,Sim,,Sim,,,,,,,,,,,,
01/12/2019,Sim,,Sim,,,,,,,,,,,,Sim
03/12/2019,Sim,,Sim,,,,,,,,,,,,Sim
04/12/2019,Sim,,Sim,,,,,,,,,,,,Sim
04/12/2019,Sim,,Sim,,,,,,,,,,,,Sim
04/12/2019,,Sim,Sim,,,Sim,,Sim,,,,,,,
05/12/2019,Sim,,Sim,,,,,,,,,,,,
05/12/2019,Sim,,Sim,,,,,,,,,,,,Sim
10/12/2019,Sim,,Sim,,,,,,,,,,,,Sim
12/12/2019,Sim,,Sim,,,Sim,,,,,,,,,Sim
16/12/2019,,Sim,Sim,,,,,,,,,,,,Sim
17/12/2019,Sim,,Sim,,,Sim,,,,,,Sim,,,
17/12/2019,Sim,,Sim,,,,,Sim,,,,Sim,,,
18/12/2019,Sim,,Sim,,,,,Sim,,,,Sim,,,
18/12/2019,Sim,,Sim,,,,,,,,,,,,Sim
19/12/2019,Sim,,Sim,,,,,,,,,,,,
23/12/2019,,Sim,Sim,,,,,,,,,,,,
26/12/2019,Sim,,Sim,,,,,,,,,,,,
27/12/2019,Sim,,Sim,,,Sim,,,,,,,,,
30/12/2019,Sim,,Sim,,,Sim,,,,,,,,Sim,
02/01/2020,Sim,,Sim,,,,,,Sim,,,,,,
03/01/2020,Sim,,Sim,,,,,,,,,,,Sim,
04/01/2020,Sim,,Sim,,,,,,,,,,,,
08/01/2020,Sim,,Sim,,,,,Sim,,,,,,,
09/01/2020,Sim,,Sim,,,Sim,,,,,,,,,
09/01/2020,Sim,,Sim,,,,,,,,,,,,Sim
16/01/2020,Sim,,Sim,,,Sim,,,Sim,,,,,,
20/01/2020,Sim,,Sim,,,,,,,,,,,,Sim
23/01/2020,,Sim,Sim,,,,,,,,,,,,
24/01/2020,Sim,,Sim,,,,,,,,,,,,Sim
27/01/2020,Sim,,Sim,,,,,,,,,,,,
28/01/2020,Sim,,Sim,,,,,,,,,,,,Sim
29/01/2020,Sim,,Sim,,,,,,,,,,,Sim,
30/01/2020,Sim,,Sim,,,Sim,,Sim,,,,,,,
31/01/2020,,Sim,Sim,,,,,Sim,,,,Sim,,,
02/02/2020,Sim,,Sim,,,Sim,,,,,,,,,
03/02/2020,Sim,,Sim,,,,,,,,,,,,Sim
05/02/2020,,Sim,Sim,,,,,Sim,,,,,,,Sim
07/02/2020,Sim,,Sim,,,Sim,,,,,,,,,Sim
11/02/2020,Sim,,Sim,,,,,,,,,,,Sim,
12/02/2020,,Sim,Sim,,,Sim,,,,,,,,Sim,
12/02/2020,Sim,,Sim,,,,,,,,,,,,Sim
13/02/2020,Sim,,Sim,,,Sim,,Sim,,,,,,,
24/02/2020,Sim,,Sim,,,Sim,,,,,,,,,Sim
26/02/2020,Sim,,Sim,,,,,,,,,,,,Sim
27/02/2020,Sim,,Sim,,,,,,,,,,,,Sim
28/02/2020,Sim,,Sim,,,,,,,,,,,,Sim
29/02/2020,Sim,,Sim,,,,,,,,,,,,Sim
01/03/2020,Sim,,Sim,,,,,,,,,,,,Sim
05/03/2020,,Sim,Sim,,,,,,,,,,,,
07/03/2020,Sim,,Sim,,,,,,,,,,,,
