,a,b,c,d,e,f,g,h,i,j,k,l,m,n
Total de posts,60,115,15,87,11,113,41,172,4,1,3,34,2,0
% do total,"34,88%","66,86%","8,72%","50,58%","6,40%","65,70%","23,84%","100,00%","2,33%","0,58%","1,74%","19,77%","1,16%","0,00%"
