Data,a,b,c,d,e,f,g,h,i,j,k,l,m,n
28/08/2019,,Sim,,Sim,Sim,,,Sim,,,,,,
29/08/2019,,Sim,Sim,,,Sim,,Sim,,,,,,
29/08/2019,,Sim,Sim,,,Sim,,Sim,,,,,,
30/08/2019,,Sim,,,Sim,,,Sim,,,,,,
01/09/2019,Sim,,,,Sim,,,Sim,,,,,,
02/09/2019,Sim,,,,,Sim,,Sim,,,,,,
03/09/2019,,Sim,,Sim,,,,Sim,,,,,,
04/09/2019,,Sim,,,,,,Sim,,,,,,
05/09/2019,,Sim,,,,,,Sim,,,,,,
06/09/2019,,Sim,,,,,,Sim,,,,,,
06/09/2019,,Sim,,,,,,Sim,,,,,,
07/09/2019,,Sim,,,,Sim,,Sim,,,,,,Sim
08/09/2019,,Sim,,Sim,Sim,,,Sim,,,,,,
08/09/2019,,Sim,,Sim,,,,Sim,,,,,,
09/09/2019,,Sim,,,,,,Sim,,,,,,
09/09/2019,,Sim,,Sim,,Sim,,Sim,,,,,,
10/09/2019,Sim,,,Sim,Sim,,,Sim,,,,,,
10/09/2019,,Sim,,Sim,,,,Sim,,,,,,
12/09/2019,Sim,,,,,Sim,,Sim,,,,,,
12/09/2019,,Sim,,,,,,Sim,,,Sim,,,
12/09/2019,,Sim,,,,Sim,Sim,Sim,,,,,,Sim
12/09/2019,,Sim,,Sim,,,,Sim,,,,,,
14/09/2019,,Sim,,,,Sim,,Sim,,,,,,
14/09/2019,,Sim,,Sim,,,,Sim,,,,,,
14/09/2019,,Sim,,,,,,Sim,,,,,,
16/09/2019,,Sim,,,,Sim,,Sim,,,,Sim,,
17/09/2019,Sim,,,,,Sim,,Sim,,,,,,Sim
19/09/2019,,Sim,,Sim,,,,Sim,,,,,,
19/09/2019,,Sim,,,,Sim,,Sim,,,,,,
20/09/2019,,Sim,,Sim,,,,Sim,,,,,,
20/09/2019,,Sim,,,,Sim,,Sim,,,,,,
20/09/2019,,Sim,,,,Sim,,Sim,,,,,,
21/09/2019,,Sim,,Sim,,Sim,,Sim,,,,,,
21/09/2019,,Sim,,Sim,,,,Sim,,,,,,
22/09/2019,,Sim,,,,,,Sim,,,,,,
23/09/2019,Sim,,,,,Sim,,Sim,,,,Sim,,
24/09/2019,Sim,,,,,Sim,,Sim,,,,,,Sim
25/09/2019,Sim,,,,,Sim,,Sim,,,,,,Sim
25/09/2019,,Sim,,Sim,,,,Sim,,,,,,
26/09/2019,,Sim,,Sim,,,,Sim,,,,,,
26/09/2019,,Sim,,Sim,,,,Sim,,,,,,
26/09/2019,,Sim,,,,Sim,,Sim,,,,,,Sim
28/09/2019,Sim,,,,,Sim,,Sim,,,,,,
28/09/2019,Sim,,,,,Sim,,Sim,,,,,,
29/09/2019,,Sim,,Sim,,,,Sim,,,,,,
30/09/2019,Sim,,,,,Sim,,Sim,,,,,,Sim
02/10/2019,,Sim,,,,Sim,,Sim,,,,,,Sim
03/10/2019,,Sim,,,,Sim,,Sim,,,,,,Sim
03/10/2019,Sim,,,,,Sim,,Sim,,,,,,Sim
04/10/2019,Sim,,,,,Sim,,Sim,,,,,,Sim
05/10/2019,,Sim,,,,Sim,,Sim,,,,,,
05/10/2019,Sim,,,,,Sim,,Sim,,,,,,
05/10/2019,,Sim,,,,Sim,,Sim,,,,,,
06/10/2019,,Sim,,,,,,Sim,,,,,,
06/10/2019,Sim,Sim,,Sim,,Sim,,Sim,,,,,,
06/10/2019,,Sim,,Sim,,,,Sim,,,,,,
07/10/2019,,Sim,,Sim,,Sim,,Sim,,,,Sim,,
08/10/2019,,Sim,,,,Sim,,Sim,,,,,,
09/10/2019,,Sim,,,,Sim,,Sim,,,,,,
10/10/2019,,Sim,,Sim,,,,Sim,,,,,,
11/10/2019,,Sim,,Sim,,Sim,,Sim,,,,,,
12/10/2019,,Sim,,Sim,Sim,,,Sim,,,,,,
12/10/2019,,Sim,,Sim,Sim,,,Sim,,,,,,
14/10/2019,,Sim,,,,,,Sim,,,,,,
14/10/2019,,Sim,,Sim,,,,Sim,,,,,,
14/10/2019,Sim,,,,,Sim,,Sim,,,,,,
16/10/2019,,Sim,,Sim,,,Sim,Sim,,,,,,
17/10/2019,Sim,,Sim,,,Sim,,Sim,,,,,,
19/10/2019,,Sim,,Sim,,,,Sim,,,,,,
20/10/2019,Sim,,,Sim,,,,Sim,,,,,,
21/09/2019,,Sim,,,,,,Sim,,,,,,
21/10/2019,Sim,,,,,,,Sim,,,,,Sim,
23/10/2019,,Sim,,,,,,Sim,,,,,,
24/10/2019,,Sim,,,,,,Sim,,,,,,
26/10/2019,,Sim,,,,,,Sim,,,,,,
26/10/2019,,Sim,,,,,,Sim,,,,,,
26/10/2019,,Sim,,,,,,Sim,,,,,,
27/10/2019,,Sim,,,,,,Sim,,,,,,
28/10/2019,Sim,,,,,Sim,,Sim,,,,,,
29/10/2019,,Sim,,,,,,Sim,,,,,,
30/10/2019,,Sim,,Sim,,,,Sim,,,,,,
30/10/2019,,Sim,,,,Sim,,Sim,,,,,,
31/10/2019,,Sim,Sim,,,Sim,,Sim,,,,,,
01/11/2019,,Sim,,,,Sim,,Sim,,,,Sim,,Sim
02/11/2019,,Sim,,,,,,Sim,,,,,,
02/11/2019,,Sim,,,,Sim,,Sim,,,,,,
05/11/2019,,Sim,,,,,,Sim,,,,,,
06/11/2019,,Sim,,,,Sim,,Sim,,,,,,Sim
07/11/2019,,Sim,,Sim,,,,Sim,,,,,,
08/11/2019,,Sim,,,,Sim,,Sim,,,,,,
08/11/2019,,Sim,,,,Sim,,Sim,,,,,,Sim
08/11/2019,Sim,,,,,Sim,,Sim,,,,,,
11/11/2019,,Sim,,,,,,Sim,,,,,,
12/11/2019,,Sim,,Sim,,,,Sim,,,,,,
13/11/2019,,Sim,,,,Sim,,Sim,,,,,,Sim
14/11/2019,,Sim,,,,Sim,,Sim,,,,,,Sim
16/11/2019,Sim,,,,,Sim,,Sim,,,,Sim,,
16/11/2019,,Sim,,Sim,,,,Sim,,,,,,
17/11/2019,Sim,,,,,Sim,,Sim,,,,Sim,,
18/11/2019,,Sim,,Sim,,,,Sim,,,,,,
19/11/2019,,Sim,,,,Sim,,Sim,,,,,,Sim
20/11/2019,Sim,,,,,Sim,,Sim,,,,,,Sim
22/11/2019,,Sim,,,,Sim,,Sim,,,,,,Sim
25/11/2019,Sim,,,,,Sim,,Sim,,,,,,Sim
28/11/2019,Sim,,,,,Sim,,Sim,,,,,,Sim
29/11/2019,,Sim,,Sim,Sim,Sim,,Sim,,,,,,Sim
30/11/2019,,Sim,,,,Sim,,Sim,,,,,,Sim
30/11/2019,,Sim,,Sim,,,,Sim,,,,,,
1/12/2019,Sim,,,,,Sim,,Sim,,,,,,Sim
2/12/2019,Sim,,,,,Sim,,Sim,,,,,,
3/12/2019,Sim,,,,,Sim,,Sim,,,,,,
3/12/2019,,Sim,,Sim,,Sim,,Sim,,,,,,
4/12/2019,,Sim,,,,Sim,,Sim,,,,,,
4/12/2019,,Sim,,Sim,,Sim,,Sim,,,,,,
6/12/2019,Sim,,,,,Sim,,Sim,,,,,,
9/12/2019,Sim,,,,,Sim,,Sim,,,,,,Sim
11/12/2019,,Sim,,,,Sim,,Sim,,,,,,Sim
12/12/2019,,Sim,Sim,,,Sim,,Sim,,,,,,Sim
14/12/2019,Sim,,,,,Sim,,Sim,,,,,,
19/12/2019,,Sim,Sim,,,Sim,,Sim,,,,,,
20/12/2019,,Sim,,,,Sim,,Sim,,,,,,
21/12/2019,,Sim,,Sim,,Sim,,Sim,,,,,,Sim
30/12/2019,,Sim,,Sim,,,,Sim,,,,,,
3/1/2020,Sim,Sim,,Sim,,,,Sim,,,,,,
6/1/2020,,Sim,,Sim,,,,Sim,,,,,,
8/1/2020,,Sim,,Sim,,,,Sim,,,,,,
9/1/2020,,Sim,,Sim,Sim,,,Sim,,,,,,
12/1/2020,,Sim,,,,Sim,,Sim,,,,,,
13/1/2020,,Sim,,Sim,,,,Sim,,,,,,
15/1/2020,,Sim,,,,Sim,,Sim,,,,Sim,,
22/1/2020,,Sim,,,,Sim,,Sim,,,,,,Sim
23/1/2020,Sim,,,,,,,Sim,,,,,,
23/1/2020,,Sim,,Sim,,,,Sim,,,,,,
27/1/2020,,Sim,,Sim,,,,Sim,,,,,,
27/1/2020,,Sim,,Sim,,,,Sim,,,,Sim,,
31/1/2020,Sim,,,,,,,Sim,,,,,,
31/1/2020,Sim,,Sim,,,Sim,,Sim,,,,,,
2/2/2020,Sim,,,,,Sim,,Sim,,,,,,
5/2/2020,,Sim,,Sim,,,,Sim,,,,,,
6/2/2020,Sim,,,,,Sim,,Sim,,,,,,
7/2/2020,,Sim,,,,,,Sim,,,,,,
7/2/2020,Sim,,,,,Sim,,Sim,,,,,,
8/2/2020,,Sim,,,,Sim,,Sim,,,,,,
9/2/2020,Sim,,,Sim,,,,Sim,,,,,,
11/2/2020,,Sim,,Sim,,Sim,,Sim,,,,,,
13/2/2020,Sim,,Sim,,,Sim,,Sim,,,,,,Sim
15/2/2020,,Sim,,,,Sim,,Sim,,,,,,Sim
15/2/2020,,Sim,,Sim,,Sim,,Sim,,,,,,
16/2/2020,,Sim,,Sim,,,,Sim,,,,,,
18/2/2020,,Sim,,Sim,,,,Sim,,,,,,
18/2/2020,,Sim,,Sim,,Sim,,Sim,,,,,,
19/2/2020,,Sim,,Sim,,Sim,,Sim,,,,,,
19/2/2020,,Sim,,Sim,,,,Sim,,,,,,
21/2/2020,,Sim,,Sim,,,,Sim,,,,,,
21/2/2020,,Sim,,Sim,Sim,,,Sim,,,,,,
22/2/2020,,Sim,,Sim,,Sim,,Sim,,,,,,
22/2/2020,,Sim,,Sim,,,,Sim,,,,,,
22/2/2020,,Sim,,Sim,,,,Sim,,,,,,
23/2/2020,,Sim,,Sim,,Sim,,Sim,,,,,,
24/2/2020,Sim,,,Sim,,Sim,,Sim,,,,,,
25/2/2020,,Sim,,Sim,,,,Sim,,,,,,
26/2/2020,,Sim,,Sim,,,,Sim,,,,,,
27/2/2020,,Sim,Sim,,,Sim,,Sim,,,,,,
28/2/2020,,Sim,,Sim,,Sim,,Sim,,,,,,
2/3/2020,,Sim,,,,Sim,,Sim,,,,,,Sim
3/3/2020,Sim,Sim,,,,Sim,,Sim,,,,,,Sim
4/3/2020,Sim,,,,,Sim,,Sim,,,,,,Sim
5/3/2020,,Sim,,,,Sim,,Sim,,,,,,Sim
8/3/2020,,Sim,,Sim,,,,Sim,,,,,,
8/3/2020,Sim,,,Sim,,Sim,,Sim,,,,,,
8/3/2020,,Sim,,Sim,Sim,,,Sim,,,,,,
9/3/2020,,Sim,,,,Sim,,Sim,,,,,,
9/3/2020,Sim,,,,,Sim,,Sim,,,,,,
10/3/2020,,Sim,,,,Sim,,Sim,,,,,,Sim
10/3/2020,,Sim,,Sim,,,,Sim,,,,,,
11/3/2020,,Sim,,Sim,,,,Sim,,,,,,
11/3/2020,,Sim,,,,Sim,,Sim,,,,,,Sim
12/3/2020,,Sim,,,,Sim,,Sim,,,,,,Sim
12/3/2020,,Sim,,,,Sim,,Sim,,,,,,Sim
13/3/2020,,Sim,,,,Sim,,Sim,,,,,,
14/3/2020,Sim,,,Sim,,Sim,,Sim,,,,,,
16/3/2020,,Sim,,,,Sim,,Sim,,,,,,
