Publicações,a,b,c,d,e,f,g,h,i,j,k,l,m,n
04/10/2020,,Sim,,Sim,,Sim,,Sim,,,,,,
05/10/2020,Sim,,,,,Sim,,Sim,,,,,,
08/10/2020,,Sim,Sim,,,Sim,,Sim,,,,Sim,,
09/10/2020,,Sim,,,,Sim,,Sim,,,,Sim,,
10/10/2020,Sim,,,,,Sim,,Sim,,,,Sim,,
12/10/2020,,Sim,,,,,,Sim,Sim,,,,,
12/10/2020,Sim,,,,,Sim,,Sim,,,,Sim,,
14/10/2020,,Sim,,,,,,Sim,Sim,,,,,
15/10/2020,,Sim,Sim,Sim,,Sim,,Sim,,,,,,
16/10/2020,,Sim,,Sim,,Sim,,Sim,,,,,,
20/10/2020,,Sim,,,,Sim,,Sim,,,,,,
21/10/2020,,Sim,,,,Sim,Sim,Sim,,,,,,
23/10/2020,,Sim,,,,Sim,,Sim,,,,,,
27/10/2020,,Sim,,,,Sim,,Sim,,,,Sim,,
28/10/2020,Sim,,,,,Sim,,Sim,,,,Sim,,
28/10/2020,Sim,,,,,Sim,,Sim,,,,,,
29/10/2020,,Sim,,,,Sim,,Sim,,,,,,
29/10/2020,Sim,,,,,Sim,,Sim,,,,,,
30/10/2020,,Sim,,Sim,,Sim,,Sim,,,,,,
30/10/2020,Sim,,,,,Sim,,Sim,,,,Sim,,
31/10/2020,,Sim,,,,Sim,,Sim,,,,,,
02/11/2020,,Sim,,,,Sim,,Sim,,,,,,
04/11/2020,Sim,,,Sim,,Sim,,Sim,,,,,,
05/11/2020,,Sim,Sim,Sim,,,,Sim,,,,Sim,,
06/11/2020,,Sim,,Sim,Sim,,,Sim,,,,,,
08/11/2020,Sim,,,Sim,,,,Sim,,,,,,
17/11/2020,Sim,,,,,Sim,,Sim,,,,,,
20/11/2020,,Sim,,,,Sim,,Sim,,,,,,
22/11/2020,Sim,,,,,Sim,,Sim,,,,,,
24/11/2020,Sim,,,Sim,,,,Sim,,,,,,
24/11/2020,,Sim,,Sim,,Sim,,Sim,,,,,,
25/11/2020,,Sim,,,,Sim,Sim,Sim,,,,,,
25/11/2020,Sim,,,Sim,,,,Sim,,,,,,
26/11/2020,Sim,,Sim,Sim,,Sim,,Sim,,,,Sim,,
27/11/2020,,Sim,,Sim,,,,Sim,,,,,,
28/11/2020,,Sim,,,,Sim,Sim,Sim,,,,,,
28/11/2020,,Sim,,,,Sim,Sim,Sim,,,,,,
02/12/2020,,Sim,,Sim,,Sim,,Sim,,,,Sim,,
03/12/2020,,Sim,,Sim,,,,Sim,,,,,,
04/12/2020,Sim,Sim,,Sim,,,,Sim,,,,,,
10/12/2020,,Sim,,,,Sim,Sim,Sim,,,,Sim,,
12/12/2020,Sim,,,Sim,,,,Sim,,,,,,
12/12/2020,Sim,,,,,Sim,Sim,Sim,,,,,,
12/12/2020,,Sim,,,,Sim,Sim,Sim,,,,,,
14/12/2020,,Sim,,Sim,,Sim,,Sim,,,,,,
14/12/2020,,Sim,,Sim,,,,Sim,,,,,,
17/12/2020,,Sim,,Sim,,,,Sim,,,,,,
