,a,b,c,d,e,f,g,h,i,j,k,l,m,n
Total de posts,70,218,11,99,21,172,4,283,1,0,1,13,1,59
% do total,"24,73%","77,03%","3,89%","34,98%","7,42%","60,78%","1,41%","100,00%","0,35%","0,00%","0,35%","4,59%","0,35%","20,85%"
