Categorias,Total de posts,Porcentagem
a,70,24.73
b,218,77.03
c,11,3.89
d,99,34.98%
e,21,7.42%
f,172,60.78%
g,4,1.41%
h,283,100.00
i,1,0.35
j,0,0.00
k,1,0.35
l,13,4.59
m,1,0.35
n,59,20.85
